Product,ActionSet,ActionSet_Describe,ActionSet_Link,ActionSet_LinkText
SAS Visual Data Mining and Machine Learning,deduplication,Provides an action for managing rows within groups,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-deduplication-TblOfActions.htm,Duplicate Management
SAS Visual Data Mining and Machine Learning,espCluster,Provides actions for starting and viewing a cluster of ESP servers,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-espcluster-TblOfActions.htm,ESP Server Cluster
SAS Visual Data Mining and Machine Learning,explainModel,Provides actions for explaining already trained models.,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_explainmodel_toc.htm,Explain Model Actions
SAS Visual Data Mining and Machine Learning,factmac,Provides actions for factorization machines,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_factmac_toc.htm,Factorization Machine
SAS Visual Data Mining and Machine Learning,fastKnn,Provides actions for the k-nearest neighbor algorithm,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_fastknn_toc.htm,Fast k-Nearest Neighbor
SAS Visual Data Mining and Machine Learning,fcmpact,Provides actions that add and run FCMP code,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-fcmpact-TblOfActions.htm,FCMP
SAS Visual Data Mining and Machine Learning,fedSql,Provides actions for submitting SQL statements,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-fedsql-TblOfActions.htm,FedSQL
SAS Visual Data Mining and Machine Learning,freqTab,Provides actions for performing frequency and crosstabulation analysis,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_freqtab_toc.htm,Frequency and Crosstabulation Analysis
SAS Visual Data Mining and Machine Learning,gam,Provides actions for fitting Generalized Additive Models,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_gam_toc.htm,Generalized Additive Models
SAS Visual Data Mining and Machine Learning,gleam,Implements generalized linear multitask learning and solves multiple related sparse linear regression problems simultaneously,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_gleam_toc.htm,Generalized Linear Multitask Learning
SAS Visual Data Mining and Machine Learning,graphSemiSupLearn,Provides actions for graph-based semisupervised learning,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_graphsemisuplearn_toc.htm,Graph-Based Semisupervised Learning
SAS Visual Data Mining and Machine Learning,gVarCluster,Provides an action for performing variable clustering and providing undirected network for mining relationship among variables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_gvarcluster_toc.htm,Graphical Variable Clustering
SAS Visual Data Mining and Machine Learning,hyperGroup,"Find hypergroups, graph layouts, colors, communities, centralities, and create structural and nBody graphs. Find shortest paths.",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-hypergroup-TblOfActions.htm,Hypergroup
SAS Visual Data Mining and Machine Learning,image,Provides actions for image processing,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_image_toc.htm,Image
SAS Visual Data Mining and Machine Learning,ica,Provides actions for performing independent component analysis,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_ica_toc.htm,Independent Component Analysis
SAS Visual Data Mining and Machine Learning,kernelPca,Provides actions for kernel principal component analysis,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_kernelpca_toc.htm,Kernel Principal Component Analysis
SAS Visual Data Mining and Machine Learning,langModel,Provides actions that are used for language models in speech-to-text systems.,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_langmodel_toc.htm,Language Model
SAS Visual Data Mining and Machine Learning,sparseML,Provides actions for sparse data learning,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_sparseml_toc.htm,Machine Learning for Sparse Data
SAS Visual Data Mining and Machine Learning,mlTools,Provides utility actions for machine learning,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_mltools_toc.htm,Machine Learning Tools
SAS Visual Data Mining and Machine Learning,mixed,Provides actions for fitting mixed models,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_mixed_toc.htm,Mixed Modeling
SAS Visual Data Mining and Machine Learning,modelPublishing,Provides actions to support DATA step and DS2 model publishing and scoring in CAS and in external databases,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-modelpublishing-TblOfActions.htm,Model Publishing and Scoring
SAS Visual Data Mining and Machine Learning,mbc,Provides actions for performing model-based clustering,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_mbc_toc.htm,Model-Based Clustering
SAS Visual Data Mining and Machine Learning,network,Provides actions for network analysis,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_network_toc.htm,Network
SAS Visual Data Mining and Machine Learning,neuralNet,Provides actions for training and scoring artificial neural networks,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_neuralnet_toc.htm,Neural Network
SAS Visual Data Mining and Machine Learning,nonlinear,Provides actions for fitting nonlinear models,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_nonlinear_toc.htm,Nonlinear Models
SAS Visual Data Mining and Machine Learning,nonParametricBayes,Nonparametric Bayes,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_nonparametricbayes_toc.htm,Nonparametric Bayes
SAS Visual Data Mining and Machine Learning,pls,"Provides actions for fitting reduced-rank linear models, including partial least squares",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_pls_toc.htm,Partial Least Squares
SAS Visual Data Mining and Machine Learning,percentile,"Provides actions for calculating percentiles, boxplot values, and assessing models",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-percentile-TblOfActions.htm,Percentile
SAS Visual Data Mining and Machine Learning,pca,Provides actions for performing principal component analysis,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_pca_toc.htm,Principal Component Analysis
SAS Visual Data Mining and Machine Learning,phreg,Provides actions for fitting proportional hazards model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_phreg_toc.htm,Proportional Hazards Regression Modeling
SAS Visual Data Mining and Machine Learning,quantreg,Provides actions for performing quantile regression,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_quantreg_toc.htm,Quantile Regression Modeling
SAS Visual Data Mining and Machine Learning,recommend,Provides actions for building a recommender system,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-recommend-TblOfActions.htm,Recommender System
SAS Visual Data Mining and Machine Learning,deepRnn,Provides actions for modeling and scoring with deep recurrent neural networks (RNN) with raw text inputs,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casdlpg&docsetTarget=cas-deeprnn-TblOfActions.htm,Recurrent Neural Network
SAS Visual Data Mining and Machine Learning,regression,"Provides actions for fitting linear, generalized linear, and logistic models",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_regression_toc.htm,Regression
SAS Visual Data Mining and Machine Learning,reinforcementLearn,"Provides actions for building, training, and scoring reinforcement learning models",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casrlpg&docsetTarget=cas-reinforcementlearn-TblOfActions.htm,Reinforcement Learning
SAS Visual Data Mining and Machine Learning,robustPca,Provides actions for robust principal component analysis (RPCA) and moving windows principal component analysis (MWPCA),http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_robustpca_toc.htm,Robust PCA
SAS Visual Data Mining and Machine Learning,sampling,Provides actions for sampling and partitioning of data,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_sampling_toc.htm,Sampling and Partitioning
SAS Visual Data Mining and Machine Learning,sparkEmbeddedProcess,Provides actions for interacting with the SAS Embedded Process for Spark continuous session,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-sparkembeddedprocess-TblOfActions.htm,SAS Embedded Process for Spark
SAS Visual Data Mining and Machine Learning,search,"Provides actions for indexing structured and unstructured data, querying against an index, and performing aggregations on an index",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-search-TblOfActions.htm,Search
SAS Visual Data Mining and Machine Learning,sentimentAnalysis,Provides actions for the SAS Sentiment Analysis Application in CAS,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-sentimentanalysis-TblOfActions.htm,Sentiment Analysis
SAS Visual Data Mining and Machine Learning,sequence,Provides actions for pathing analysis,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-sequence-TblOfActions.htm,Sequence
SAS Visual Data Mining and Machine Learning,configuration,Provides actions for managing server options,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-configuration-TblOfActions.htm,Server Properties
SAS Visual Data Mining and Machine Learning,session,Provides actions to display session information and manage sessions,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-session-TblOfActions.htm,Session Methods
SAS Visual Data Mining and Machine Learning,sessionProp,Provides actions for managing session properties,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-sessionprop-TblOfActions.htm,Session Properties
SAS Visual Data Mining and Machine Learning,simple,Provides actions for performing basic analytic functions,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-simple-TblOfActions.htm,Simple Analytics
SAS Visual Data Mining and Machine Learning,sandwich,Provides action for fitting sparse regression models,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_sandwich_toc.htm,Sparse Regression
SAS Visual Data Mining and Machine Learning,spc,Provides actions for control chart analysis,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=casactstat_spc_toc.htm,Statistical Process Control
SAS Visual Data Mining and Machine Learning,loadStreams,Provides actions for querying event streaming projects and getting snapshots of streaming data,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-loadstreams-TblOfActions.htm,Streaming Data
SAS Visual Data Mining and Machine Learning,svDataDescription,Provides actions for anomaly detection,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_svdatadescription_toc.htm,Support Vector Data Description
SAS Visual Data Mining and Machine Learning,svm,Provides actions for support vector machines,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_svm_toc.htm,Support Vector Machine
SAS Visual Data Mining and Machine Learning,tSne,Provides actions for the t-distributed stochastic neighbor embedding algorithm,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_tsne_toc.htm,t-Distributed Stochastic Neighbor Embedding
SAS Visual Data Mining and Machine Learning,table,Provides actions for accessing and managing data,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-table-TblOfActions.htm,Tables
SAS Visual Data Mining and Machine Learning,textMining,Provides actions for mining textual data,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_textmining_toc.htm,Text Mining
SAS Visual Data Mining and Machine Learning,textParse,"Provides actions for parsing, accumulating results, handling misspellings, and applying word vector models to score documents",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-textparse-TblOfActions.htm,Text Parse
SAS Visual Data Mining and Machine Learning,transpose,Provides actions for transposing data,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-transpose-TblOfActions.htm,Transpose
SAS Visual Text Analytics,boolRule,Provides actions for Boolean rule extraction and scoring,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_boolrule_toc.htm,Boolean Rule
SAS Visual Text Analytics,ldaTopic,Provides actions for training an LDA topic model and scoring documents using the LDA model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-ldatopic-TblOfActions.htm,LDA Topic Modeling
SAS Visual Text Analytics,deepRnn,Provides actions for modeling and scoring with deep recurrent neural networks (RNN) with raw text inputs,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-deeprnn-TblOfActions.htm,Recurrent Neural Network
SAS Visual Text Analytics,reinforcementLearn,"Provides actions for building, training, and scoring reinforcement learning models",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casrlpg&docsetTarget=cas-reinforcementlearn-TblOfActions.htm,Reinforcement Learning
SAS Visual Text Analytics,search,"Provides actions for indexing structured and unstructured data, querying against an index, and performing aggregations on an index",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-search-TblOfActions.htm,Search
SAS Visual Text Analytics,searchAnalytics,Search analytics action set includes actions using analytics to improve search experience,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-searchanalytics-TblOfActions.htm,Search Analytics
SAS Visual Text Analytics,sentimentAnalysis,Provides actions for the SAS Sentiment Analysis Application in CAS,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-sentimentanalysis-TblOfActions.htm,Sentiment Analysis
SAS Visual Text Analytics,smartData,Provides actions for data analysis using machine learning,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-smartdata-TblOfActions.htm,Smart Data Set Analysis and Processing
SAS Visual Text Analytics,conditionalRandomFields,SAS Text Analytics conditional random field modeling package for sequence labeling.,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-conditionalrandomfields-TblOfActions.htm,Text Analytics Conditional Random Fields
SAS Visual Text Analytics,textRuleDevelop,"SAS Text Analytics linguistic rule development package for categorization, concept extraction and sentiment analysis",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-textruledevelop-TblOfActions.htm,Text Analytics Rule Development
SAS Visual Text Analytics,textRuleScore,"SAS Text Analytics linguistic rule scoring package for categorization, concept extraction and sentiment analysis",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-textrulescore-TblOfActions.htm,Text Analytics Rule Score
SAS Visual Text Analytics,textMining,Provides actions for mining textual data,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-textmining-TblOfActions.htm,Text Mining
SAS Visual Text Analytics,textParse,"Provides actions for parsing, accumulating results, handling misspellings, and applying word vector models to score documents",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-textparse-TblOfActions.htm,Text Parse
SAS Visual Text Analytics,textRuleDiscover,Provides actions for term map extraction,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-textrulediscover-TblOfActions.htm,Text Rule Discovery
SAS Visual Text Analytics,textSummarization,Provides an action for summarizing text data,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-textsummarization-TblOfActions.htm,Text Summarization
SAS Visual Text Analytics,textTopic,Provides a variety of topic actions for text analytics.,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-texttopic-TblOfActions.htm,Text Topics
SAS Visual Text Analytics,textUtil,Provides a variety of utility actions for text analytics,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casvtapg&docsetTarget=cas-textutil-TblOfActions.htm,Text Utilities
SAS Data Quality,dataDiscovery,Provides actions for performing data discovery services,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactdq&docsetTarget=cas-datadiscovery-TblOfActions.htm,Data Discovery
SAS Data Quality,entityRes,Actions used in Data Management Entity Resolution,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactdq&docsetTarget=cas-entityres-TblOfActions.htm,Entity Resolution
SAS Data Quality,qkb,Provides actions for importing and managing QKBs,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactdq&docsetTarget=cas-qkb-TblOfActions.htm,QKB
SAS Econometrics,cdm,Provides an action for modeling aggregate losses by using the compound distribution models,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_cdm_toc.htm,Aggregate Loss Modeling
SAS Econometrics,copula,Provides actions for modeling various copulas,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_copula_toc.htm,Copula Modeling
SAS Econometrics,countreg,Provides actions for modeling count data by using nonlinear regression,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_countreg_toc.htm,Count Data Regression Modeling
SAS Econometrics,ecm,Provides an action for developing an economic capital model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_ecm_toc.htm,Economic Capital Modeling
SAS Econometrics,hiddenMarkovModel,Provides an action for fitting hidden Markov models,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_hiddenmarkovmodel_toc.htm,Hidden Markov Model
SAS Econometrics,panel,Provides an action for panel data econometrics,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_panel_toc.htm,Panel Data Regression Modeling
SAS Econometrics,qlim,Provides actions for analyzing limited dependent variable models.,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_qlim_toc.htm,Qualitative and Limited Dependent Variable Modeling
SAS Econometrics,severity,Provides actions for modeling severity distributions of losses,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_severity_toc.htm,Severity Distribution Modeling
SAS Econometrics,spatialreg,Provides an action for modeling spatial data,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_spatialreg_toc.htm,Spatial Data Regression Modeling
SAS Econometrics,timeData,Provides actions for time series processing,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_timedata_toc.htm,Time Series Processing
SAS Econometrics,uniTimeSeries,Provides actions for univariate time series analysis,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactecon&docsetTarget=casactecon_unitimeseries_toc.htm,Univariate Time Series Analysis
SAS Optimization,optNetwork,Provides actions for combinatorial and network flow optimization,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactnopt&docsetTarget=casactnopt_optnetwork_toc.htm,Network Optimization
SAS Optimization,optimization,Provides actions for solving optimization problems,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactmopt&docsetTarget=casactmopt_optimization_toc.htm,Optimization
SAS Visual Forecasting,tsReconcile,Provides utility functions for reconciling hierarchical forecasts,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactforecast&docsetTarget=casactforecast_tsreconcile_toc.htm,Reconcile Forecasts
SAS Visual Forecasting,stabilityMonitoring,Provides actions for monitoring stability,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactforecast&docsetTarget=casactforecast_stabilitymonitoring_toc.htm,Stability Monitoring
SAS Visual Forecasting,timeFilters,Provides actions used for time filters,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactforecast&docsetTarget=casactforecast_timefilters_toc.htm,Time Filters
SAS Visual Forecasting,timeFrequency,Provides utility functions for time frequency analysis,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactforecast&docsetTarget=casactforecast_timefrequency_toc.htm,Time Frequency Analysis
SAS Visual Forecasting,tsInfo,Provides actions for time series information analysis,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactforecast&docsetTarget=casactforecast_tsinfo_toc.htm,Time Series Information Analysis
SAS Visual Forecasting,timeData,Provides actions for time series processing,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactforecast&docsetTarget=casactforecast_timedata_toc.htm,Time Series Processing
SAS IML,iml,Provides actions for submitting SAS/IML programs.,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactiml&docsetTarget=casactiml_iml_toc.htm,IML
